date,year,month_num,month_name,quarter,quarter_year,year_quarter,week_num,day_of_month,weekday_name,is_weekend,is_holiday_season
2020-01-01,2020,1,January,1,2020-Q1,Q1 2020,1,1,Wednesday,0,0
2020-01-02,2020,1,January,1,2020-Q1,Q1 2020,1,2,Thursday,0,0
2020-01-03,2020,1,January,1,2020-Q1,Q1 2020,1,3,Friday,0,0
2020-01-04,2020,1,January,1,2020-Q1,Q1 2020,1,4,Saturday,1,0
2020-01-05,2020,1,January,1,2020-Q1,Q1 2020,1,5,Sunday,1,0
2020-01-06,2020,1,January,1,2020-Q1,Q1 2020,2,6,Monday,0,0
2020-01-07,2020,1,January,1,2020-Q1,Q1 2020,2,7,Tuesday,0,0
2020-01-08,2020,1,January,1,2020-Q1,Q1 2020,2,8,Wednesday,0,0
2020-01-09,2020,1,January,1,2020-Q1,Q1 2020,2,9,Thursday,0,0
2020-01-10,2020,1,January,1,2020-Q1,Q1 2020,2,10,Friday,0,0
2020-01-11,2020,1,January,1,2020-Q1,Q1 2020,2,11,Saturday,1,0
2020-01-12,2020,1,January,1,2020-Q1,Q1 2020,2,12,Sunday,1,0
2020-01-13,2020,1,January,1,2020-Q1,Q1 2020,3,13,Monday,0,0
2020-01-14,2020,1,January,1,2020-Q1,Q1 2020,3,14,Tuesday,0,0
2020-01-15,2020,1,January,1,2020-Q1,Q1 2020,3,15,Wednesday,0,0
2020-01-16,2020,1,January,1,2020-Q1,Q1 2020,3,16,Thursday,0,0
2020-01-17,2020,1,January,1,2020-Q1,Q1 2020,3,17,Friday,0,0
2020-01-18,2020,1,January,1,2020-Q1,Q1 2020,3,18,Saturday,1,0
2020-01-19,2020,1,January,1,2020-Q1,Q1 2020,3,19,Sunday,1,0
2020-01-20,2020,1,January,1,2020-Q1,Q1 2020,4,20,Monday,0,0
2020-01-21,2020,1,January,1,2020-Q1,Q1 2020,4,21,Tuesday,0,0
2020-01-22,2020,1,January,1,2020-Q1,Q1 2020,4,22,Wednesday,0,0
2020-01-23,2020,1,January,1,2020-Q1,Q1 2020,4,23,Thursday,0,0
2020-01-24,2020,1,January,1,2020-Q1,Q1 2020,4,24,Friday,0,0
2020-01-25,2020,1,January,1,2020-Q1,Q1 2020,4,25,Saturday,1,0
2020-01-26,2020,1,January,1,2020-Q1,Q1 2020,4,26,Sunday,1,0
2020-01-27,2020,1,January,1,2020-Q1,Q1 2020,5,27,Monday,0,0
2020-01-28,2020,1,January,1,2020-Q1,Q1 2020,5,28,Tuesday,0,0
2020-01-29,2020,1,January,1,2020-Q1,Q1 2020,5,29,Wednesday,0,0
2020-01-30,2020,1,January,1,2020-Q1,Q1 2020,5,30,Thursday,0,0
2020-01-31,2020,1,January,1,2020-Q1,Q1 2020,5,31,Friday,0,0
2020-02-01,2020,2,February,1,2020-Q1,Q1 2020,5,1,Saturday,1,0
2020-02-02,2020,2,February,1,2020-Q1,Q1 2020,5,2,Sunday,1,0
2020-02-03,2020,2,February,1,2020-Q1,Q1 2020,6,3,Monday,0,0
2020-02-04,2020,2,February,1,2020-Q1,Q1 2020,6,4,Tuesday,0,0
2020-02-05,2020,2,February,1,2020-Q1,Q1 2020,6,5,Wednesday,0,0
2020-02-06,2020,2,February,1,2020-Q1,Q1 2020,6,6,Thursday,0,0
2020-02-07,2020,2,February,1,2020-Q1,Q1 2020,6,7,Friday,0,0
2020-02-08,2020,2,February,1,2020-Q1,Q1 2020,6,8,Saturday,1,0
2020-02-09,2020,2,February,1,2020-Q1,Q1 2020,6,9,Sunday,1,0
2020-02-10,2020,2,February,1,2020-Q1,Q1 2020,7,10,Monday,0,0
2020-02-11,2020,2,February,1,2020-Q1,Q1 2020,7,11,Tuesday,0,0
2020-02-12,2020,2,February,1,2020-Q1,Q1 2020,7,12,Wednesday,0,0
2020-02-13,2020,2,February,1,2020-Q1,Q1 2020,7,13,Thursday,0,0
2020-02-14,2020,2,February,1,2020-Q1,Q1 2020,7,14,Friday,0,0
2020-02-15,2020,2,February,1,2020-Q1,Q1 2020,7,15,Saturday,1,0
2020-02-16,2020,2,February,1,2020-Q1,Q1 2020,7,16,Sunday,1,0
2020-02-17,2020,2,February,1,2020-Q1,Q1 2020,8,17,Monday,0,0
2020-02-18,2020,2,February,1,2020-Q1,Q1 2020,8,18,Tuesday,0,0
2020-02-19,2020,2,February,1,2020-Q1,Q1 2020,8,19,Wednesday,0,0
2020-02-20,2020,2,February,1,2020-Q1,Q1 2020,8,20,Thursday,0,0
2020-02-21,2020,2,February,1,2020-Q1,Q1 2020,8,21,Friday,0,0
2020-02-22,2020,2,February,1,2020-Q1,Q1 2020,8,22,Saturday,1,0
2020-02-23,2020,2,February,1,2020-Q1,Q1 2020,8,23,Sunday,1,0
2020-02-24,2020,2,February,1,2020-Q1,Q1 2020,9,24,Monday,0,0
2020-02-25,2020,2,February,1,2020-Q1,Q1 2020,9,25,Tuesday,0,0
2020-02-26,2020,2,February,1,2020-Q1,Q1 2020,9,26,Wednesday,0,0
2020-02-27,2020,2,February,1,2020-Q1,Q1 2020,9,27,Thursday,0,0
2020-02-28,2020,2,February,1,2020-Q1,Q1 2020,9,28,Friday,0,0
2020-02-29,2020,2,February,1,2020-Q1,Q1 2020,9,29,Saturday,1,0
2020-03-01,2020,3,March,1,2020-Q1,Q1 2020,9,1,Sunday,1,0
2020-03-02,2020,3,March,1,2020-Q1,Q1 2020,10,2,Monday,0,0
2020-03-03,2020,3,March,1,2020-Q1,Q1 2020,10,3,Tuesday,0,0
2020-03-04,2020,3,March,1,2020-Q1,Q1 2020,10,4,Wednesday,0,0
2020-03-05,2020,3,March,1,2020-Q1,Q1 2020,10,5,Thursday,0,0
2020-03-06,2020,3,March,1,2020-Q1,Q1 2020,10,6,Friday,0,0
2020-03-07,2020,3,March,1,2020-Q1,Q1 2020,10,7,Saturday,1,0
2020-03-08,2020,3,March,1,2020-Q1,Q1 2020,10,8,Sunday,1,0
2020-03-09,2020,3,March,1,2020-Q1,Q1 2020,11,9,Monday,0,0
2020-03-10,2020,3,March,1,2020-Q1,Q1 2020,11,10,Tuesday,0,0
2020-03-11,2020,3,March,1,2020-Q1,Q1 2020,11,11,Wednesday,0,0
2020-03-12,2020,3,March,1,2020-Q1,Q1 2020,11,12,Thursday,0,0
2020-03-13,2020,3,March,1,2020-Q1,Q1 2020,11,13,Friday,0,0
2020-03-14,2020,3,March,1,2020-Q1,Q1 2020,11,14,Saturday,1,0
2020-03-15,2020,3,March,1,2020-Q1,Q1 2020,11,15,Sunday,1,0
2020-03-16,2020,3,March,1,2020-Q1,Q1 2020,12,16,Monday,0,0
2020-03-17,2020,3,March,1,2020-Q1,Q1 2020,12,17,Tuesday,0,0
2020-03-18,2020,3,March,1,2020-Q1,Q1 2020,12,18,Wednesday,0,0
2020-03-19,2020,3,March,1,2020-Q1,Q1 2020,12,19,Thursday,0,0
2020-03-20,2020,3,March,1,2020-Q1,Q1 2020,12,20,Friday,0,0
2020-03-21,2020,3,March,1,2020-Q1,Q1 2020,12,21,Saturday,1,0
2020-03-22,2020,3,March,1,2020-Q1,Q1 2020,12,22,Sunday,1,0
2020-03-23,2020,3,March,1,2020-Q1,Q1 2020,13,23,Monday,0,0
2020-03-24,2020,3,March,1,2020-Q1,Q1 2020,13,24,Tuesday,0,0
2020-03-25,2020,3,March,1,2020-Q1,Q1 2020,13,25,Wednesday,0,0
2020-03-26,2020,3,March,1,2020-Q1,Q1 2020,13,26,Thursday,0,0
2020-03-27,2020,3,March,1,2020-Q1,Q1 2020,13,27,Friday,0,0
2020-03-28,2020,3,March,1,2020-Q1,Q1 2020,13,28,Saturday,1,0
2020-03-29,2020,3,March,1,2020-Q1,Q1 2020,13,29,Sunday,1,0
2020-03-30,2020,3,March,1,2020-Q1,Q1 2020,14,30,Monday,0,0
2020-03-31,2020,3,March,1,2020-Q1,Q1 2020,14,31,Tuesday,0,0
2020-04-01,2020,4,April,2,2020-Q2,Q2 2020,14,1,Wednesday,0,0
2020-04-02,2020,4,April,2,2020-Q2,Q2 2020,14,2,Thursday,0,0
2020-04-03,2020,4,April,2,2020-Q2,Q2 2020,14,3,Friday,0,0
2020-04-04,2020,4,April,2,2020-Q2,Q2 2020,14,4,Saturday,1,0
2020-04-05,2020,4,April,2,2020-Q2,Q2 2020,14,5,Sunday,1,0
2020-04-06,2020,4,April,2,2020-Q2,Q2 2020,15,6,Monday,0,0
2020-04-07,2020,4,April,2,2020-Q2,Q2 2020,15,7,Tuesday,0,0
2020-04-08,2020,4,April,2,2020-Q2,Q2 2020,15,8,Wednesday,0,0
2020-04-09,2020,4,April,2,2020-Q2,Q2 2020,15,9,Thursday,0,0
2020-04-10,2020,4,April,2,2020-Q2,Q2 2020,15,10,Friday,0,0
2020-04-11,2020,4,April,2,2020-Q2,Q2 2020,15,11,Saturday,1,0
2020-04-12,2020,4,April,2,2020-Q2,Q2 2020,15,12,Sunday,1,0
2020-04-13,2020,4,April,2,2020-Q2,Q2 2020,16,13,Monday,0,0
2020-04-14,2020,4,April,2,2020-Q2,Q2 2020,16,14,Tuesday,0,0
2020-04-15,2020,4,April,2,2020-Q2,Q2 2020,16,15,Wednesday,0,0
2020-04-16,2020,4,April,2,2020-Q2,Q2 2020,16,16,Thursday,0,0
2020-04-17,2020,4,April,2,2020-Q2,Q2 2020,16,17,Friday,0,0
2020-04-18,2020,4,April,2,2020-Q2,Q2 2020,16,18,Saturday,1,0
2020-04-19,2020,4,April,2,2020-Q2,Q2 2020,16,19,Sunday,1,0
2020-04-20,2020,4,April,2,2020-Q2,Q2 2020,17,20,Monday,0,0
2020-04-21,2020,4,April,2,2020-Q2,Q2 2020,17,21,Tuesday,0,0
2020-04-22,2020,4,April,2,2020-Q2,Q2 2020,17,22,Wednesday,0,0
2020-04-23,2020,4,April,2,2020-Q2,Q2 2020,17,23,Thursday,0,0
2020-04-24,2020,4,April,2,2020-Q2,Q2 2020,17,24,Friday,0,0
2020-04-25,2020,4,April,2,2020-Q2,Q2 2020,17,25,Saturday,1,0
2020-04-26,2020,4,April,2,2020-Q2,Q2 2020,17,26,Sunday,1,0
2020-04-27,2020,4,April,2,2020-Q2,Q2 2020,18,27,Monday,0,0
2020-04-28,2020,4,April,2,2020-Q2,Q2 2020,18,28,Tuesday,0,0
2020-04-29,2020,4,April,2,2020-Q2,Q2 2020,18,29,Wednesday,0,0
2020-04-30,2020,4,April,2,2020-Q2,Q2 2020,18,30,Thursday,0,0
2020-05-01,2020,5,May,2,2020-Q2,Q2 2020,18,1,Friday,0,0
2020-05-02,2020,5,May,2,2020-Q2,Q2 2020,18,2,Saturday,1,0
2020-05-03,2020,5,May,2,2020-Q2,Q2 2020,18,3,Sunday,1,0
2020-05-04,2020,5,May,2,2020-Q2,Q2 2020,19,4,Monday,0,0
2020-05-05,2020,5,May,2,2020-Q2,Q2 2020,19,5,Tuesday,0,0
2020-05-06,2020,5,May,2,2020-Q2,Q2 2020,19,6,Wednesday,0,0
2020-05-07,2020,5,May,2,2020-Q2,Q2 2020,19,7,Thursday,0,0
2020-05-08,2020,5,May,2,2020-Q2,Q2 2020,19,8,Friday,0,0
2020-05-09,2020,5,May,2,2020-Q2,Q2 2020,19,9,Saturday,1,0
2020-05-10,2020,5,May,2,2020-Q2,Q2 2020,19,10,Sunday,1,0
2020-05-11,2020,5,May,2,2020-Q2,Q2 2020,20,11,Monday,0,0
2020-05-12,2020,5,May,2,2020-Q2,Q2 2020,20,12,Tuesday,0,0
2020-05-13,2020,5,May,2,2020-Q2,Q2 2020,20,13,Wednesday,0,0
2020-05-14,2020,5,May,2,2020-Q2,Q2 2020,20,14,Thursday,0,0
2020-05-15,2020,5,May,2,2020-Q2,Q2 2020,20,15,Friday,0,0
2020-05-16,2020,5,May,2,2020-Q2,Q2 2020,20,16,Saturday,1,0
2020-05-17,2020,5,May,2,2020-Q2,Q2 2020,20,17,Sunday,1,0
2020-05-18,2020,5,May,2,2020-Q2,Q2 2020,21,18,Monday,0,0
2020-05-19,2020,5,May,2,2020-Q2,Q2 2020,21,19,Tuesday,0,0
2020-05-20,2020,5,May,2,2020-Q2,Q2 2020,21,20,Wednesday,0,0
2020-05-21,2020,5,May,2,2020-Q2,Q2 2020,21,21,Thursday,0,0
2020-05-22,2020,5,May,2,2020-Q2,Q2 2020,21,22,Friday,0,0
2020-05-23,2020,5,May,2,2020-Q2,Q2 2020,21,23,Saturday,1,0
2020-05-24,2020,5,May,2,2020-Q2,Q2 2020,21,24,Sunday,1,0
2020-05-25,2020,5,May,2,2020-Q2,Q2 2020,22,25,Monday,0,0
2020-05-26,2020,5,May,2,2020-Q2,Q2 2020,22,26,Tuesday,0,0
2020-05-27,2020,5,May,2,2020-Q2,Q2 2020,22,27,Wednesday,0,0
2020-05-28,2020,5,May,2,2020-Q2,Q2 2020,22,28,Thursday,0,0
2020-05-29,2020,5,May,2,2020-Q2,Q2 2020,22,29,Friday,0,0
2020-05-30,2020,5,May,2,2020-Q2,Q2 2020,22,30,Saturday,1,0
2020-05-31,2020,5,May,2,2020-Q2,Q2 2020,22,31,Sunday,1,0
2020-06-01,2020,6,June,2,2020-Q2,Q2 2020,23,1,Monday,0,0
2020-06-02,2020,6,June,2,2020-Q2,Q2 2020,23,2,Tuesday,0,0
2020-06-03,2020,6,June,2,2020-Q2,Q2 2020,23,3,Wednesday,0,0
2020-06-04,2020,6,June,2,2020-Q2,Q2 2020,23,4,Thursday,0,0
2020-06-05,2020,6,June,2,2020-Q2,Q2 2020,23,5,Friday,0,0
2020-06-06,2020,6,June,2,2020-Q2,Q2 2020,23,6,Saturday,1,0
2020-06-07,2020,6,June,2,2020-Q2,Q2 2020,23,7,Sunday,1,0
2020-06-08,2020,6,June,2,2020-Q2,Q2 2020,24,8,Monday,0,0
2020-06-09,2020,6,June,2,2020-Q2,Q2 2020,24,9,Tuesday,0,0
2020-06-10,2020,6,June,2,2020-Q2,Q2 2020,24,10,Wednesday,0,0
2020-06-11,2020,6,June,2,2020-Q2,Q2 2020,24,11,Thursday,0,0
2020-06-12,2020,6,June,2,2020-Q2,Q2 2020,24,12,Friday,0,0
2020-06-13,2020,6,June,2,2020-Q2,Q2 2020,24,13,Saturday,1,0
2020-06-14,2020,6,June,2,2020-Q2,Q2 2020,24,14,Sunday,1,0
