transactionid,date,year,month,quarter,productkey,geokey,channelkey,segmentkey,quantity,unitprice_usd,discount_pct,revenue_usd,revenue_local,currency,cogs_usd,margin_usd,margin_pct
4152,2022-01-01,2022,1,Q1,403,1,4,3,1,23.6,4.1,22.62,390.0,MXN,8.14,14.48,64.0
29209,2022-01-01,2022,1,Q1,404,3,6,6,2,37.19,13.7,64.16,267333.33,COP,21.81,42.35,66.0
8507,2022-01-01,2022,1,Q1,405,1,6,6,1,25.48,3.2,24.66,425.17,MXN,8.63,16.03,65.0
21933,2022-01-01,2022,1,Q1,308,1,5,5,5,28.3,3.6,136.42,2352.07,MXN,47.75,88.67,65.0
15715,2022-01-01,2022,1,Q1,106,2,4,1,6,12.34,2.0,72.6,363.0,BRL,26.14,46.46,64.0
4726,2022-01-01,2022,1,Q1,108,3,3,2,5,9.85,1.9,48.33,201375.0,COP,16.92,31.41,65.0
26951,2022-01-01,2022,1,Q1,209,1,4,4,2,69.63,0.5,138.52,2388.28,MXN,41.56,96.96,70.0
15271,2022-01-01,2022,1,Q1,208,4,7,3,3,52.68,1.4,155.81,57707.41,ARS,49.86,105.95,68.0
2903,2022-01-01,2022,1,Q1,110,1,6,1,5,14.46,0.3,72.07,1242.59,MXN,27.39,44.68,62.0
21946,2022-01-01,2022,1,Q1,404,3,1,3,3,38.61,3.2,112.09,467041.67,COP,38.11,73.98,66.0
4777,2022-01-01,2022,1,Q1,304,4,4,5,4,43.11,0.6,171.44,63496.3,ARS,65.15,106.29,62.0
16561,2022-01-01,2022,1,Q1,207,3,4,4,1,107.2,2.7,104.33,434708.33,COP,29.21,75.12,72.0
9188,2022-01-01,2022,1,Q1,305,1,5,2,2,20.92,4.9,39.78,685.86,MXN,14.32,25.46,64.0
18980,2022-01-01,2022,1,Q1,114,2,1,2,4,9.75,11.8,34.4,172.0,BRL,11.01,23.39,68.0
22614,2022-01-01,2022,1,Q1,204,1,7,4,2,43.74,0.8,86.78,1496.21,MXN,26.03,60.75,70.0
9908,2022-01-01,2022,1,Q1,401,1,6,6,4,31.28,8.5,114.46,1973.45,MXN,41.21,73.25,64.0
8126,2022-01-01,2022,1,Q1,209,2,4,4,1,67.46,3.2,65.33,326.65,BRL,19.6,45.73,70.0
2605,2022-01-01,2022,1,Q1,308,1,3,5,6,29.0,3.4,168.02,2896.9,MXN,58.81,109.21,65.0
26864,2022-01-01,2022,1,Q1,409,2,6,6,1,35.09,2.4,34.24,171.2,BRL,12.33,21.91,64.0
3627,2022-01-01,2022,1,Q1,207,5,7,3,2,114.42,0.9,226.81,206190.91,CLP,63.51,163.3,72.0
16002,2022-01-01,2022,1,Q1,114,3,1,2,4,9.71,11.8,34.26,142750.0,COP,10.96,23.3,68.0
30852,2022-01-01,2022,1,Q1,409,4,6,2,3,35.05,10.0,94.68,35066.67,ARS,34.08,60.6,64.0
7264,2022-01-01,2022,1,Q1,406,3,6,3,3,19.3,15.0,49.23,205125.0,COP,18.71,30.52,62.0
7008,2022-01-01,2022,1,Q1,204,5,3,3,1,42.4,1.4,41.81,38009.09,CLP,12.54,29.27,70.0
26009,2022-01-01,2022,1,Q1,208,4,7,4,1,56.27,1.8,55.23,20455.56,ARS,17.67,37.56,68.0
25862,2022-01-01,2022,1,Q1,104,2,1,1,3,18.67,7.9,51.56,257.8,BRL,20.62,30.94,60.0
27241,2022-01-01,2022,1,Q1,209,4,3,4,1,69.36,2.5,67.66,25059.26,ARS,20.3,47.36,70.0
11884,2022-01-01,2022,1,Q1,408,1,4,3,1,99.6,4.8,94.84,1635.17,MXN,27.5,67.34,71.0
7796,2022-01-02,2022,1,Q1,404,4,6,3,1,36.35,1.9,35.64,13200.0,ARS,12.12,23.52,66.0
4979,2022-01-02,2022,1,Q1,408,1,4,3,2,95.21,0.6,189.27,3263.28,MXN,54.89,134.38,71.0
