ANIO,MES,SEMANA,HORA_COMPRA,HORA_ENTREGA,ORIGEN,DESTINO,EJECUCION_ENTREGA,ENTREGA_DEMORADA,ENTREGA_ANTICIPADA,ENTREGA_A_TIEMPO,CANCELADO,TOTAL_ENVIOS,VISITAS
2024,3,9,11,12.0,ZACATECAS,OAXACA,ON_TIME,0,0,10,0,10,16
2024,3,9,21,15.0,ZACATECAS,OAXACA,DELAY,1,0,0,0,1,2
2024,3,9,22,14.0,ZACATECAS,OAXACA,EARLY,0,9,0,0,9,17
2024,3,9,9,20.0,ZACATECAS,OAXACA,EARLY,0,4,0,0,4,5
2024,3,9,20,16.0,ZACATECAS,OAXACA,EARLY,0,5,0,0,5,5
2024,3,9,12,12.0,ZACATECAS,OAXACA,ON_TIME,0,0,6,0,6,12
2024,3,9,15,16.0,ZACATECAS,OAXACA,EARLY,0,11,0,0,11,11
2024,3,9,20,15.0,ZACATECAS,OAXACA,EARLY,0,11,0,0,11,21
2024,3,9,11,14.0,ZACATECAS,OAXACA,DELAY,1,0,0,0,1,1
2024,3,9,8,13.0,ZACATECAS,OAXACA,EARLY,0,4,0,0,4,5
2024,3,9,22,15.0,ZACATECAS,OAXACA,EARLY,0,4,0,0,4,4
2024,3,9,21,19.0,ZACATECAS,OAXACA,EARLY,0,7,0,0,7,12
2024,3,9,3,15.0,ZACATECAS,OAXACA,EARLY,0,1,0,0,1,2
2024,3,9,12,11.0,ZACATECAS,OAXACA,ON_TIME,0,0,5,0,5,5
2024,3,9,17,10.0,ZACATECAS,OAXACA,EARLY,0,2,0,0,2,4
2024,3,9,8,20.0,ZACATECAS,OAXACA,ON_TIME,0,0,1,0,1,1
2024,3,9,22,13.0,ZACATECAS,OAXACA,ON_TIME,0,0,4,0,4,5
2024,3,9,12,18.0,ZACATECAS,OAXACA,ON_TIME,0,0,2,0,2,2
2024,3,9,12,16.0,ZACATECAS,OAXACA,ON_TIME,0,0,2,0,2,3
2024,3,9,17,21.0,ZACATECAS,OAXACA,EARLY,0,2,0,0,2,2
2024,3,9,13,22.0,ZACATECAS,OAXACA,EARLY,0,1,0,0,1,1
2024,3,9,19,15.0,ZACATECAS,OAXACA,EARLY,0,9,0,0,9,16
2024,3,9,0,,ZACATECAS,OAXACA,CANCELLED,0,0,0,2,2,4
2024,3,9,9,18.0,ZACATECAS,OAXACA,EARLY,0,6,0,0,6,8
2024,3,9,16,14.0,ZACATECAS,OAXACA,EARLY,0,8,0,0,8,10
2024,3,9,9,11.0,ZACATECAS,OAXACA,DELAY,1,0,0,0,1,1
2024,3,9,11,20.0,ZACATECAS,OAXACA,ON_TIME,0,0,2,0,2,3
2024,3,9,12,12.0,ZACATECAS,OAXACA,EARLY,0,11,0,0,11,14
2024,3,9,10,12.0,ZACATECAS,OAXACA,EARLY,0,16,0,0,16,23
2024,3,9,19,19.0,ZACATECAS,OAXACA,ON_TIME,0,0,2,0,2,2
2024,3,9,16,21.0,ZACATECAS,OAXACA,EARLY,0,1,0,0,1,1
2024,3,9,10,13.0,ZACATECAS,OAXACA,EARLY,0,10,0,0,10,20
2024,3,9,2,11.0,ZACATECAS,OAXACA,EARLY,0,1,0,0,1,2
2024,3,9,17,11.0,ZACATECAS,OAXACA,ON_TIME,0,0,4,0,4,7
2024,3,9,7,13.0,ZACATECAS,OAXACA,ON_TIME,0,0,3,0,3,3
2024,3,9,1,13.0,ZACATECAS,OAXACA,ON_TIME,0,0,2,0,2,4
2024,3,9,11,10.0,ZACATECAS,OAXACA,EARLY,0,6,0,0,6,10
2024,3,9,22,11.0,ZACATECAS,OAXACA,ON_TIME,0,0,3,0,3,6
2024,3,9,23,18.0,ZACATECAS,OAXACA,ON_TIME,0,0,1,0,1,1
2024,3,9,1,14.0,ZACATECAS,OAXACA,ON_TIME,0,0,3,0,3,4
2024,3,9,23,17.0,ZACATECAS,OAXACA,EARLY,0,5,0,0,5,5
2024,3,9,19,13.0,ZACATECAS,OAXACA,EARLY,0,10,0,0,10,14
2024,3,9,11,9.0,ZACATECAS,OAXACA,EARLY,0,1,0,0,1,2
2024,3,9,10,11.0,ZACATECAS,OAXACA,ON_TIME,0,0,3,0,3,6
2024,3,9,17,19.0,ZACATECAS,OAXACA,EARLY,0,4,0,0,4,6
2024,3,9,19,14.0,ZACATECAS,OAXACA,ON_TIME,0,0,3,0,3,3
2024,3,9,0,18.0,ZACATECAS,OAXACA,EARLY,0,6,0,0,6,7
