Date,Month,Campaign_New,Canal,Spend,Impressions,Clicks,Engagements,LinkClicks,VideoViews,Weighted_Score,CPM
2024-12-31,2024-12,Campaign_13,Meta,5498.11,1058025,1361,39820.0,505.0,0.0,21271.0,5.196578530753054
2024-12-31,2024-12,Campaign_43,TikTok,12505.95,1629035,29470,0.0,0.0,195567.0,49026.7,7.676906880453767
2024-12-31,2024-12,Campiagn_14,Meta,347.54,19874,1273,4116.0,874.0,0.0,3331.0,17.487169165744188
2024-12-31,2024-12,Campiagn_14,Meta,19343.76,1741118,4742,2944.0,2769.0,0.0,6214.0,11.109964976526575
2024-12-31,2024-12,Campaign_25,Google Ads,12329.536878,2331434,46874,5.0,0.0,0.0,46876.5,5.288391984503958
2024-12-31,2024-12,Campaign_15,Meta,6706.31,1328148,1419,51480.0,450.0,0.0,27159.0,5.049369497977636
2024-12-31,2024-12,Campaign_11,Meta,4638.08,512164,1362,28049.0,470.0,0.0,15386.5,9.055849298271646
2024-12-31,2024-12,Campaign_29,Google Ads,15658.448517,2550237,3875,956305.0,0.0,906030.0,572630.5,6.139997387301651
2024-12-31,2024-12,Campaign_25,Google Ads,4140.501425,235596,9762,55901.0,0.0,42936.0,42006.1,17.57458286643237
2024-12-31,2024-12,Campaign_43,TikTok,4513.52,788599,17291,0.0,0.0,183140.0,35605.0,5.723466552709299
2024-12-31,2024-12,Campaign_28,Google Ads,7799.068464,624153,1246,335164.0,0.0,307624.0,199590.4,12.4954433672513
2024-12-31,2024-12,Campaign_44,TikTok,5440.54,780545,5719,0.0,0.0,135609.0,19279.9,6.970181091416895
2024-12-31,2024-12,Campaign_11,Meta,4283.05,118597,700,5998.0,272.0,0.0,3699.0,36.114319923775476
2024-12-31,2024-12,Campaign_50,TikTok,3088.12,409027,1537,0.0,0.0,55025.0,7039.5,7.549917242627014
2024-12-31,2024-12,Campiagn_14,Meta,719.19,48672,299,6655.0,113.0,0.0,3626.5,14.776257396449706
2024-12-31,2024-12,Campaign_15,Meta,6802.75,1652850,1598,75689.0,417.0,0.0,39442.5,4.115769731070575
2024-12-31,2024-12,Campaign_65,YouTube,10091.882167,853556,486,222655.0,0.0,220304.0,133843.9,11.823339261864481
2024-12-31,2024-12,Campaign_16,Meta,13170.86,789160,33403,141926.0,26612.0,0.0,104366.0,16.689720715697703
2024-12-31,2024-12,Campaign_65,YouTube,10939.628502,932616,829,221402.0,0.0,218803.0,133410.3,11.730045916004014
2024-12-31,2024-12,Campaign_53,TikTok,23854.56,4882868,206496,0.0,0.0,1140596.0,320555.6,4.885358359062748
2024-12-31,2024-12,Campaign_19,Meta,3359.68,134474,7040,94608.0,6484.0,0.0,54344.0,24.983863051593616
2024-12-31,2024-12,Campiagn_14,Meta,9869.58,534227,31339,88275.0,21356.0,0.0,75476.5,18.474506155622986
2024-12-31,2024-12,Campaign_12,Meta,3429.37,752560,950,29944.0,461.0,0.0,15922.0,4.55693898160944
2024-12-31,2024-12,Campaign_25,Google Ads,2042.117434,127630,5840,32368.0,0.0,26457.0,24669.7,16.000293300948055
2024-12-31,2024-12,Campaign_15,Meta,2943.39,295837,2899,185373.0,1.0,0.0,95585.5,9.94936400788272
2024-12-31,2024-12,Campaign_25,Google Ads,5736.292224,340330,15088,84222.0,0.0,67987.0,63997.7,16.855088367173035
2024-12-31,2024-12,Campaign_63,YouTube,13530.877156,1272004,426,633369.0,0.0,631891.0,380299.6,10.63744858978431
2024-12-31,2024-12,Campaign_11,Meta,8764.3,134195,922,9781.0,337.0,0.0,5812.5,65.31018294273258
2024-12-31,2024-12,Campaign_27,Google Ads,4968.211532,172687,38,0.0,0.0,0.0,38.0,28.7700378835697
2024-12-31,2024-12,Campaign_25,Google Ads,5867.936167,1091615,2578,415388.0,0.0,389708.0,249242.8,5.375463113826761
2024-12-31,2024-12,Campiagn_14,Meta,1220.27,84202,218,6421.0,57.0,0.0,3428.5,14.492173582575235
2024-12-31,2024-12,Campaign_25,Google Ads,4168.293272,300143,12154,73196.0,0.0,58583.0,54610.3,13.887691107238881
2024-12-31,2024-12,Campaign_17,Meta,14210.99,1398084,5623,86392.0,5464.0,0.0,48819.0,10.164618148837981
2024-12-31,2024-12,Campaign_13,Meta,11211.62,1974296,2523,86207.0,702.0,0.0,45626.5,5.678793858671648
2024-12-31,2024-12,Campaign_53,TikTok,3328.51,562689,31241,0.0,0.0,142574.0,45498.4,5.915363548958662
2024-12-31,2024-12,Campaign_29,Google Ads,2053.572026,313713,8040,5.0,0.0,0.0,8042.5,6.546021446353833
2024-12-31,2024-12,Campaign_12,Meta,4594.78,633565,5095,262227.0,3.0,0.0,136208.5,7.252262988012279
2024-12-31,2024-12,Campaign_44,TikTok,4276.51,519576,3692,0.0,0.0,101973.0,13889.300000000001,8.230768934669808
2024-12-31,2024-12,Campaign_18,Meta,4029.96,628278,15982,281574.0,5.0,0.0,156769.0,6.4142943092070706
2024-12-31,2024-12,Campiagn_14,Meta,15611.93,1156382,4815,100212.0,3078.0,0.0,54921.0,13.50066846422722
2024-12-31,2024-12,Campaign_25,Google Ads,21923.387117,1371461,54931,363866.0,0.0,309724.0,267836.4,15.985425117447743
2024-12-31,2024-12,Campaign_43,TikTok,2202.11,206373,712,0.0,0.0,12586.0,1970.6000000000001,10.670533451565856
2024-12-31,2024-12,Campaign_26,Google Ads,13895.216761,4185579,11588,793159.0,0.0,779124.0,486079.9,3.3197836574103605
2024-12-31,2024-12,Campiagn_14,Meta,4979.52,1259302,1462,62740.0,339.0,0.0,32832.0,3.9541904960049306
2024-12-31,2024-12,Campaign_60,YouTube,37941.853636,3860332,1294,909215.0,0.0,872064.0,543107.9,9.828650394836506
2024-12-31,2024-12,Campiagn_14,Meta,24402.44,4502348,6771,229254.0,2081.0,0.0,121398.0,5.4199364420520135
2024-12-31,2024-12,Campaign_65,YouTube,6340.070236,679061,362,52686.0,0.0,51682.0,31873.2,9.336525343084052
2024-12-31,2024-12,Campaign_65,YouTube,5174.609862,507227,1105,163414.0,0.0,160128.0,98824.8,10.201763435306088
2024-12-31,2024-12,Campiagn_14,Meta,2087.98,90394,212,4361.0,79.0,0.0,2392.5,23.098656990508218
2024-12-31,2024-12,Campaign_25,Google Ads,4652.221942,265962,12981,76912.0,0.0,75865.0,59023.5,17.49205503793775
2024-12-31,2024-12,Campaign_44,TikTok,15369.77,2033988,5755,0.0,0.0,266496.0,32404.600000000002,7.556470342991208
2024-12-31,2024-12,Campiagn_14,Meta,5000.96,969091,1531,36966.0,426.0,0.0,20014.0,5.1604648067106185
2024-12-31,2024-12,Campaign_43,TikTok,5794.6,602189,3927,0.0,0.0,33076.0,7234.6,9.622560358957072
2024-12-31,2024-12,Campaign_12,Meta,11379.14,1218044,18981,714626.0,289.0,0.0,376294.0,9.34214199158651
2024-12-31,2024-12,Campaign_65,YouTube,2798.557686,492444,66,11156.0,0.0,10555.0,6699.5,5.682996819942979
2024-12-31,2024-12,Campaign_62,YouTube,3783.537848,335936,51,325739.0,0.0,325726.0,195493.1,11.262674580872547
2024-12-31,2024-12,Campaign_15,Meta,6743.16,1799244,1996,81426.0,402.0,0.0,42709.0,3.747774065107345
2024-12-31,2024-12,Campaign_45,TikTok,8243.61,1611817,2427,0.0,0.0,9703.0,3397.3,5.114482599451427
2024-12-31,2024-12,Campiagn_48,TikTok,29014.2,4926724,214784,0.0,0.0,1406544.0,355438.4,5.889146621568409
2024-12-31,2024-12,Campaign_62,YouTube,5390.192494,883596,244,109831.0,0.0,91454.0,64304.9,6.100290736943127
2024-12-31,2024-12,Campaign_7,DV360,3552.889965,478145,450,0.0,0.0,192123.0,19662.3,7.4305701513139315
2024-12-31,2024-12,Campaign_15,Meta,3556.46,424517,4073,203690.0,2.0,0.0,105918.0,8.377662143094389
2024-12-31,2024-12,Campiagn_14,Meta,4106.859999,233584,518,23103.0,166.0,0.0,12069.5,17.581940539591756
2024-12-31,2024-12,Campaign_65,YouTube,6358.665987,714270,501,40997.0,0.0,39728.0,24972.3,8.902328233021128
2024-12-31,2024-12,Campaign_12,Meta,7109.76,1493063,2091,47107.0,1062.0,0.0,25644.5,4.761862024576324
2024-12-31,2024-12,Campaign_53,TikTok,8541.98,1855857,74127,0.0,0.0,693276.0,143454.6,4.602714541044919
2024-12-31,2024-12,Campaign_12,Meta,8633.86,2179467,2980,97609.0,574.0,0.0,51784.5,3.9614547960579354
2024-12-31,2024-12,Campiagn_14,Meta,26543.07,1975216,4295,145868.0,971.0,0.0,77229.0,13.438059432487384
2024-12-31,2024-12,Campaign_65,YouTube,4071.592414,446615,194,31057.0,0.0,30425.0,18765.0,9.116559931932425
2024-12-31,2024-12,Campaign_43,TikTok,8532.87,1259568,76400,0.0,0.0,384465.0,114846.5,6.77444171334934
2024-12-31,2024-12,Campaign_6,DV360,4105.299518,320467,1415,0.0,0.0,0.0,1415.0,12.810365866064211
2024-12-31,2024-12,Campiagn_14,Meta,14965.44,2571613,6554,74533.0,3099.0,0.0,43820.5,5.819475947586204
2024-12-31,2024-12,Campaign_43,TikTok,6054.34,639069,2826,0.0,0.0,68239.0,9649.900000000001,9.473687504792128
2024-12-31,2024-12,Campaign_43,TikTok,3560.81,770621,1362,0.0,0.0,6200.0,1982.0,4.620702005265883
2024-12-31,2024-12,Campaign_43,TikTok,6536.57,655115,2196,0.0,0.0,45790.0,6775.0,9.97774436549308
2024-12-31,2024-12,Campaign_25,Google Ads,13497.584077,754392,45,486970.0,0.0,449695.0,288499.5,17.892003198602318
2024-12-31,2024-12,Campaign_29,Google Ads,3318.469049,282830,717,224674.0,0.0,201951.0,133249.1,11.733087186649223
2024-12-31,2024-12,Campaign_19,Meta,5023.18,370611,15182,70513.0,9963.0,0.0,50438.5,13.553780109063142
2024-12-31,2024-12,Campiagn_14,Meta,3129.83,846145,2178,1082.0,968.0,0.0,2719.0,3.69892867061792
2024-12-31,2024-12,Campaign_65,YouTube,6990.96987,775574,545,44251.0,0.0,43124.0,26982.9,9.01393016011367
2024-12-31,2024-12,Campaign_43,TikTok,10354.17,1013501,4009,0.0,0.0,63049.0,10313.900000000001,10.21624053651649
2024-12-31,2024-12,Campiagn_14,Meta,5725.31,252277,18083,52998.0,11480.0,0.0,44582.0,22.694538146561126
2024-12-31,2024-12,Campaign_25,Google Ads,6084.248881,2346628,6177,0.0,0.0,0.0,6177.0,2.592762415261388
2024-12-31,2024-12,Campiagn_14,Meta,10381.66,695339,35978,158585.0,25522.0,0.0,115270.5,14.930357710411755
2024-12-31,2024-12,Campaign_43,TikTok,5182.35,517161,1563,0.0,0.0,29070.0,4470.0,10.020767227227111
2024-12-31,2024-12,Campaign_15,Meta,15459.55,1346169,36726,204878.0,26444.0,0.0,139165.0,11.484107864614323
2024-12-31,2024-12,Campaign_25,Google Ads,5906.184795,407999,95,169645.0,0.0,152771.0,100194.6,14.47597860533972
2024-12-31,2024-12,Campaign_16,Meta,5887.53,368966,13049,69330.0,9923.0,0.0,47714.0,15.956836131242445
2024-12-31,2024-12,Campaign_53,TikTok,9607.019999,674223,146299,0.0,0.0,79241.0,154223.1,14.249024431085857
2024-12-31,2024-12,Campaign_25,Google Ads,5284.080298,1876270,29030,63.0,0.0,0.0,29061.5,2.8162686063306452
2024-12-31,2024-12,Campiagn_14,Meta,747.95,38742,145,5626.0,71.0,0.0,2958.0,19.305921222445928
2024-12-31,2024-12,Campaign_30,Google Ads,2695.40871,76034,0,0.0,0.0,0.0,0.0,35.450044848357315
2024-12-31,2024-12,Campaign_12,Meta,6633.47,1070498,36209,602343.0,1.0,0.0,337380.5,6.196620638245004
2024-12-31,2024-12,Campaign_65,YouTube,25296.220423,2748806,1939,131460.0,0.0,128634.0,80532.4,9.202621219176617
2024-12-31,2024-12,Campaign_60,YouTube,2891.477072,271809,1136,136704.0,0.0,95161.0,79004.1,10.637900408007093
2024-12-30,2024-12,Campaign_25,Google Ads,5730.197062,298042,13953,77220.0,0.0,66170.0,59180.0,19.226139476986464
