Date,Campaign_New,Canal,Spend,Impressions,Clicks,Engagements,LinkClicks,VideoViews
2024-12-31,Campaign_13,Meta,5498.11,1058025,1361,39820.0,505.0,
2024-12-31,Campaign_43,TikTok,12505.95,1629035,29470,,,195567.0
2024-12-31,Campiagn_14,Meta,347.54,19874,1273,4116.0,874.0,
2024-12-31,Campiagn_14,Meta,19343.76,1741118,4742,2944.0,2769.0,
2024-12-31,Campaign_25,Google Ads,12329.536878,2331434,46874,5.0,,0.0
2024-12-31,Campaign_15,Meta,6706.31,1328148,1419,51480.0,450.0,
2024-12-31,Campaign_11,Meta,4638.08,512164,1362,28049.0,470.0,
2024-12-31,Campaign_29,Google Ads,15658.448517,2550237,3875,956305.0,,906030.0
2024-12-31,Campaign_25,Google Ads,4140.501425,235596,9762,55901.0,,42936.0
2024-12-31,Campaign_43,TikTok,4513.52,788599,17291,,,183140.0
2024-12-31,Campaign_28,Google Ads,7799.068464,624153,1246,335164.0,,307624.0
2024-12-31,Campaign_44,TikTok,5440.54,780545,5719,,,135609.0
2024-12-31,Campaign_11,Meta,4283.05,118597,700,5998.0,272.0,
2024-12-31,Campaign_50,TikTok,3088.12,409027,1537,,,55025.0
2024-12-31,Campiagn_14,Meta,719.19,48672,299,6655.0,113.0,
2024-12-31,Campaign_15,Meta,6802.75,1652850,1598,75689.0,417.0,
2024-12-31,Campaign_65,YouTube,10091.882167,853556,486,222655.0,,220304.0
2024-12-31,Campaign_16,Meta,13170.86,789160,33403,141926.0,26612.0,
2024-12-31,Campaign_65,YouTube,10939.628502,932616,829,221402.0,,218803.0
2024-12-31,Campaign_53,TikTok,23854.56,4882868,206496,,,1140596.0
2024-12-31,Campaign_19,Meta,3359.68,134474,7040,94608.0,6484.0,
2024-12-31,Campiagn_14,Meta,9869.58,534227,31339,88275.0,21356.0,
2024-12-31,Campaign_12,Meta,3429.37,752560,950,29944.0,461.0,
2024-12-31,Campaign_25,Google Ads,2042.117434,127630,5840,32368.0,,26457.0
